,ID,Created_at,Location,text,label
2693,7668,5/18/2011 16:29,42.2466 93.30729,hope i feel better tomorrow this shortness of breath makes me beg for sleeep,1
2734,7816,5/20/2011 7:39,42.25486 93.54694,Taylor has a case of the chills hope they get well soon,1
2784,7961,5/18/2011 19:15,42.27091 93.38337,these chills has me wishing I was somewhere else well my night is totally ruined,1
2831,8130,5/19/2011 22:31,42.21633 93.47229,this nausea has me wishing I was somewhere else and if anyone needs me I will be at home,1
2974,8602,5/18/2011 12:17,42.21974 93.35566,this headache makes me beg for sleeep wish i was feeling better today,1
3221,9203,5/19/2011 20:14,42.16637 93.39514,this chills is so annoying tonight has just been terrible,1
3222,9207,5/20/2011 17:43,42.23805 93.35882,Emily has come down with a the flu oh the suffering...,1
3254,9270,5/19/2011 19:28,42.23186 93.33126,oh the suffering.... Gabriella has come down with a fever,1
3418,9813,5/18/2011 15:22,42.2213 93.36731,this cold had me down for the count just want to sleep all day,1
3462,9955,5/19/2011 1:30,42.23671 93.55185,want this cold to go away this shortness of breath is draining me,1
3469,9966,5/18/2011 23:27,42.21682 93.40715,I hate this this fatigue is getting really annoying,1
3546,10219,5/20/2011 0:33,42.26876 93.38585,a new night a new sickness this a dry cough is killing me,1
3735,10755,5/18/2011 9:59,42.2068 93.33365,this fever had me down for the count want this cold to go away,1
3880,11352,5/18/2011 9:57,42.20857 93.42552,Declan has come down with a fever My best wishes going out,1
4116,12114,5/20/2011 1:57,42.23923 93.32447,this flu is so annoying and hey everyone feeling terrible tonight,1
4149,12194,5/19/2011 4:01,42.22115 93.35795,this fever is causing me to lose my mind and hope i feel well in the morning,1
4269,12565,5/19/2011 9:57,42.22108 93.36426,this a dry cough cant get any worse and well the saying goes it could always be worse...,1
4421,13051,5/18/2011 18:10,42.19589 93.19945,these chills is draining me and dont feel like eatting,1
4461,13114,5/18/2011 21:47,42.23021 93.30748,I caught a chills night everyone,1
4465,13119,5/19/2011 0:56,42.21853 93.55781,this headache is digging my grave good evening...,1
4566,13372,5/18/2011 8:35,42.21535 93.28692,later everyone this fever has me wishing I was somewhere else,1
4725,13827,5/19/2011 21:19,42.20963 93.24688,home is where i'm headed this fever has me wishing I was somewhere else,1
4845,14170,5/20/2011 20:41,42.28228 93.33645,I hate this. Isaac has the flu,1
4894,14347,5/20/2011 17:39,42.21624 93.3672,can't stand this. My family has caught a case of the chills,1
4910,14398,5/18/2011 14:40,42.21674 93.31503,this cold is causing me to lose my mind and too tired to even move,1
5019,14702,5/20/2011 22:54,42.16464 93.37,I think they are laying down. Sam has caught a pneumonia,1
5086,14895,5/19/2011 11:11,42.24926 93.24658,so much for a good day this a headache is so annoying,1
5087,14895,5/18/2011 23:11,42.23079 93.28806,laying down isn't even helping I have caught a shortness of breath,1
5098,14925,5/18/2011 4:30,42.27815 93.43111,I hate this. Max has caught a fever,1
5274,15436,5/19/2011 4:39,42.29054 93.48543,Ava has caught a some fatigue This is when I wish I had superpowers,1
5281,15443,5/18/2011 20:29,42.22186 93.39481,I have come down with a headache I live such a dreadful life need to sleep,1
5334,15621,5/18/2011 21:54,42.18658 93.329,this fever is digging my grave and need medicine so I can go to bed,1
5726,16858,5/19/2011 7:34,42.23953 93.36121,Declan is unwell just want them to feel better,1
5786,17061,5/20/2011 12:59,42.19383 93.51299,this really bad diarrhea has me wishing I was somewhere else and going to try to nap,1
5856,17236,5/19/2011 9:43,42.1894 93.33565,Brian has come down with a fever Watching the sickly can be so depressing,1
6011,17685,5/18/2011 13:25,42.22038 93.39291,these chills had me down for the count too tired to even move,1
6096,17868,5/20/2011 7:27,42.23687 93.36241,Emily has come down with a the flu This is when I wish I had superpowers,1
6097,17902,5/20/2011 7:52,42.23422 93.35482,Michael has caught the flu I hate this,1
6428,18939,5/18/2011 20:30,42.21728 93.31055,I have caught a shortness of breath just wanna go to sleep,1
6442,18968,5/19/2011 10:13,42.16622 93.52206,this cramps causing me to lose my mind and hurts to move,1
6461,19035,5/20/2011 10:46,42.21122 93.3684,I am taking Emily to see the doctor because she is coughing a lot,1
6654,19671,5/20/2011 13:54,42.23746 93.3684,hopefully they get plenty of rest. Matt is having difficulty breathing,1
6673,19740,5/19/2011 10:30,42.21718 93.36109,getta pass out this a dry cough is making me crazy,1
7142,21167,5/19/2011 4:52,42.27963 93.43071,home is where they are staying for their sake. Seth has come down with a fever,1
7228,21431,5/19/2011 20:04,42.2193 93.35867,this a headache cant get any worse and i dont think tonight could possibly get worse,1
7279,21561,5/19/2011 14:59,42.22487 93.37082,of all peeps why me I have caught a fever,1
7344,21775,5/18/2011 18:46,42.21715 93.36763,going to sleep these chills makes me wish I wasn't here right now,1
7563,22296,5/20/2011 20:51,42.21882 93.25059,morning everyone this flu has me wishing I was somewhere else,1
7713,22805,5/20/2011 21:53,42.22125 93.47864,this vomitting everywhere is making me crazy if anyone needs me I will be at home,1
7716,22827,5/18/2011 12:34,42.23323 93.27839,I have a headache c ya everyone,1
7950,23458,5/19/2011 0:13,42.22714 93.38917,this fatigue is killing me and can't stand this feeling tonight,1
8072,23840,5/19/2011 2:47,42.21754 93.33999,this headache is horrible does it get any worse,1
8235,24345,5/19/2011 12:31,42.18209 93.54968,this cramps is killing me tummy isn't being nice today,1
8382,24871,5/20/2011 18:59,42.26341 93.39317,Benjamin has caught the flu I hate this,1
8446,25036,5/18/2011 13:11,42.22185 93.35841,this headache is ruining my social life want this cold to go away,1
8450,25038,5/20/2011 5:20,42.19059 93.54519,this really bad diarrhea has me wishing I was somewhere else and I think something is seriously wrong with me...,1
8484,25141,5/18/2011 16:22,42.22071 93.36525,this fatigue is making it tough to have a life and want this cold to go away,1
8768,25904,5/20/2011 20:09,42.20361 93.55699,this pneumonia makes me beg for sleeeeeeeep terrible terrible night,1
8807,26118,5/20/2011 7:42,42.23363 93.32806,Adam has come down with a the flu home is where they are staying for their sake,1
8941,26504,5/19/2011 21:05,42.23982 93.33206,this aching muscles causing me to lose my mind someone please find me a nurse for the night,1
8945,26509,5/19/2011 16:15,42.22153 93.35763,if anyone needs me I will be at home I have come down with the flu,1
8987,26651,5/18/2011 19:27,42.2583 93.29128,gonna tweet it up tonight these chills is causing me to lose my mind,1
8988,26651,5/19/2011 22:39,42.2583 93.29128,I have come down with a fever good evening,1
9107,27087,5/19/2011 17:45,42.21299 93.35642,getta pass out I have a case of the chills,1
9170,27233,5/18/2011 12:57,42.21358 93.33365,this cold is making it tough to have a life and going to sleep,1
9269,27498,5/20/2011 20:12,42.28523 93.36321,this pneumonia had me down for the count well they saying goes it could always be worse...,1
9414,27903,5/18/2011 15:34,42.22098 93.38888,cya tweeps this shortness of breath had me down for the count,1
9658,28687,5/18/2011 19:12,42.21022 93.41637,this cold makes me wish I wasn't here right now good night all,1
9888,29301,5/18/2011 13:21,42.22163 93.38778,I am coughing just wanna go to sleep,1
10043,29752,5/19/2011 17:19,42.21211 93.32407,I caught a sweats sometimes I question if the universe is against me,1
10195,30201,5/19/2011 14:53,42.20546 93.43404,this cramps is making me crazy I am sick of being on my toilet,1
10362,30747,5/18/2011 22:08,42.21946 93.34267,if anyone needs me I will be at home I caught a fatigue,1
10439,30988,5/20/2011 6:04,42.21793 93.36043,getta pass out this case of the chills had me down for the count,1
10637,31700,5/18/2011 8:23,42.23039 93.36361,this shortness of breath makes me wish I wasn't here right now and just wanna go to sleep,1
10988,32897,5/20/2011 3:36,42.22832 93.32966,Ryan has caught a pneumonia being sick sucks,1
11049,33090,5/19/2011 18:45,42.218 93.39716,Teaching Economics And Pizza Equations,1
11062,33118,5/20/2011 19:45,42.21063 93.35123,Alexis has the flu can't stand this,1
11080,33155,5/18/2011 20:51,42.22151 93.3631,don't plan on leaving the house anytime soon this cold makes me beg for sleeep,1
11172,33487,5/18/2011 10:13,42.22286 93.37333,just want to sleep all day these sweats has me wishing I was somewhere else,1
11193,33510,5/18/2011 17:13,42.21966 93.38912,this fever is ruining my social life and just wanna go to sleep,1
11297,33855,5/20/2011 20:46,42.29466 93.22981,this case of the chills has me wishing I was somewhere else going to try to nap,1
11306,33870,5/18/2011 20:40,42.21921 93.35992,was going to be a good night... this cold makes me feel like crap,1
11658,34958,5/19/2011 9:10,42.20179 93.49102,this heartburn has me wishing I was somewhere else and getting used to seeing the toilet all day,1
11865,35643,5/20/2011 20:29,42.21004 93.32087,Gabriella has caught the flu hopefully they get plenty of rest,1
11903,35756,5/19/2011 5:53,42.21093 93.39397,If only I was a doctor.... Zoe has caught a the flu,1
11981,35888,5/20/2011 19:33,42.27402 93.32686,Natalie has come down with a the flu can't stand this,1
12118,36316,5/20/2011 13:52,42.21505 93.42986,I have a bad case of diarrhea last time I tried eating didn't go so well,1
12210,36610,5/19/2011 15:30,42.17348 93.38358,Noah has come down with a the flu hope they have medicine medicine,1
12219,36649,5/19/2011 9:21,42.25899 93.40675,My best wishes going out. Ava has caught a some fatigue,1
12368,37071,5/18/2011 17:10,42.20871 93.27433,laying down isn't even helping these chills is making me crazy,1
12478,37390,5/20/2011 4:33,42.20326 93.34604,Watching the sickly can be so depressing. Sam has come down with a case of the chills,1
12625,37971,5/18/2011 19:31,42.21868 93.34569,this fatigue makes me feel like crap and good evening...,1
12629,37979,5/18/2011 16:55,42.21447 93.34284,this fatigue makes me feel like crap goodbye all,1
12681,38156,5/19/2011 12:52,42.22677 93.33917,this a dry cough had me down for the count not gonna be a fun day,1
12703,38269,5/19/2011 21:42,42.29702 93.46586,being sick sucks. Dylan has caught a fever,1
13137,39574,5/20/2011 6:22,42.23658 93.34364,Alyssa has caught a case of the chills Watching the sickly can be so depressing,1
13213,39894,5/18/2011 14:25,42.22713 93.30921,these chills makes me wish I wasn't here right now and sick sick and sicker,1
13300,40158,5/19/2011 20:55,42.25658 93.5513,this fever is killing me this night isn't going to be fun,1
13332,40259,5/18/2011 12:19,42.2985 93.24738,Bryan has a headache oh the suffering...,1
13431,40626,5/20/2011 4:42,42.1723 93.55333,Ava has come down with a case of the chills home is where they are staying for their sake,1
13443,40648,5/20/2011 5:37,42.21428 93.50221,i dont think tonight could possibly get worse this fever cant get any worse,1
13652,41350,5/20/2011 19:10,42.22227 93.34638,feel like i'm gonna pass out this flu makes me beg for sleeeeeeeep,1
13671,41406,5/20/2011 18:14,42.28906 93.45508,Madison has come down with a pneumonia home is where they are staying for their sake,1
13700,41462,5/18/2011 18:14,42.21849 93.3603,Night everyone this cold makes me want soup,1
13756,41671,5/18/2011 11:13,42.22311 93.37825,laying down isn't even helping this cold is draining me,1
13757,41671,5/19/2011 12:51,42.22311 93.37825,this problems breathing right now is so annoying and thanks for trying to cheer me up today everyone,1
13767,41698,5/18/2011 18:40,42.21979 93.35462,wow this blows... this fever is getting really annoying,1
13830,41990,5/20/2011 16:44,42.21797 93.3639,this pneumonia causing me to lose my mind well they saying goes it could always be worse...,1
13895,42122,5/20/2011 19:12,42.21329 93.39716,hope they have medicine medicine. Kayla has a case of the chills,1
13950,42224,5/18/2011 11:22,42.22155 93.38599,these sweats is making it tough to have a life and I live such a dreadful life need to sleep,1
13963,42251,5/18/2011 16:32,42.22063 93.39353,well my day is totally ruined this cold is getting really annoying,1
13986,42326,5/19/2011 18:08,42.26186 93.55494,getta pass out this a headache causing me to lose my mind,1
14212,43017,5/20/2011 11:17,42.22626 93.34923,just want them to feel better. Johsua has caught a case of the chills,1
14243,43108,5/19/2011 9:39,42.22211 93.39517,well the saying goes it could always be worse... this flu has me wishing I was somewhere else,1
14285,43266,5/19/2011 11:45,42.24867 93.27893,My throat is achin ...Eww . I pray that this cold goes away at least by tmrw .,1
14377,43584,5/20/2011 19:16,42.19507 93.50971,this really bad diarrhea had me down for the count I think something is seriously wrong with me...,1
14522,44019,5/20/2011 4:35,42.20395 93.50006,this bad case of diarrhea causing me to lose my mind and just wanna go to sleep,1
14581,44213,5/20/2011 21:30,42.18631 93.43879,hey tweeps this flu is making it tough to have a life,1
14603,44331,5/18/2011 14:13,42.23007 93.30366,just wanna go to sleep these chills makes me beg for sleeep,1
14740,44615,5/19/2011 15:56,42.21329 93.38997,hope they get well soon. Matt is unwell,1
14782,44768,5/18/2011 16:42,42.21341 93.33137,laying down isn't even helping these chills is horrible,1
14803,44805,5/20/2011 3:35,42.25103 93.27654,Its 6am n freezin like north pole  I mean we' nt tht hi yet our breath turn into SMOKE! Crazy! Gtg  old ppl ish out already n I'll tke m,1
14854,44929,5/20/2011 17:31,42.22655 93.32766,hope they have medicine medicine. William has come down with a pneumonia,1
14890,45044,5/20/2011 21:14,42.22331 93.37,I can't sleep. My shoulder is hurting and I have cramps like that scene in alien. Hope medicine kicks in soon.,1
15756,47804,5/19/2011 3:50,42.17496 93.54854,I just got nausea I so need to lay down,1
15948,48381,5/19/2011 23:43,42.23835 93.35962,hope they have medicine medicine. Anthony has caught a case of the chills,1
15971,48436,5/19/2011 8:36,42.22932 93.33961,this case of the chills causing me to lose my mind can't stand this,1
16084,48758,5/18/2011 22:34,42.22195 93.36816,hope i feel well in the morning this headache makes me wish I wasn't here right now,1
16276,49390,5/20/2011 4:31,42.21034 93.34164,My best wishes going out. Emma has a pneumonia,1
16421,49760,5/20/2011 3:05,42.18307 93.33845,tonight has just been terrible this a headache had me down for the count,1
16532,50018,5/18/2011 14:43,42.22235 93.3854,I hate this this fatigue is getting really annoying,1
16565,50093,5/18/2011 9:31,42.21456 93.2905,don't plan on leaving the house anytime soon this fever makes me beg for sleeep,1
16714,50491,5/19/2011 16:01,42.20533 93.19905,this a dry cough is killing me later tweeps,1
16777,50769,5/19/2011 13:38,42.29437 93.24978,Anna has come down with a the sweats just want them to feel better,1
16875,51042,5/19/2011 10:39,42.22227 93.34638,later everyone this a dry cough causing me to lose my mind,1
16880,51059,5/18/2011 11:39,42.22207 93.36625,this shortness of breath is ruining my social life and wish i was feeling better today,1
16944,51315,5/18/2011 17:58,42.21726 93.31746,going to sleep this shortness of breath has me wishing I was somewhere else,1
16997,51470,5/19/2011 9:20,42.26105 93.49941,being sick sucks. Isaac has caught a fever,1
17005,51494,5/20/2011 13:15,42.27668 93.47425,Ella has the flu I think they are laying down,1
17219,52232,5/18/2011 9:13,42.22537 93.33187,this headache makes me beg for sleeep I hope this doesn't turn into something worse...,1
17280,52461,5/18/2011 2:15,42.21093 93.32487,I think they are laying down. Sophia has a cold,1
17314,52629,5/20/2011 15:29,42.29938 93.48823,Samuel has caught a case of the chills This is when I wish I had superpowers,1
17627,53494,5/20/2011 19:25,42.22519 93.2733,wonder if I'll be able to fall asleep... this short breath every minute has me wishing I was somewhere else,1
17645,53520,5/20/2011 20:33,42.168 93.34656,this flu is killing me and someone please find me a nurse for the night,1
17676,53602,5/20/2011 13:45,42.19365 93.4672,I really need to see a doctor I am vomitting everywhere,1
18097,54884,5/20/2011 4:00,42.19768 93.49695,I have diarrhea need medicine,1
18109,54945,5/18/2011 15:57,42.2208 93.33972,well my day is totally ruined I have come down with a sweats,1
18120,54964,5/20/2011 22:58,42.23245 93.35043,Sam has come down with a case of the chills hope they have medicine medicine,1
18433,55858,5/20/2011 5:21,42.22747 93.33439,this a headache has me begging for mercy and night tweeps,1
18668,56421,5/18/2011 14:25,42.22165 93.39762,this fever makes me wish I wasn't here right now and goodbye all,1
18812,56809,5/19/2011 13:07,42.22919 93.28471,this chills causing me to lose my mind and i dont think today could possibly get worse,1
18963,57248,5/19/2011 20:46,42.21889 93.24498,I have come down with a aching muscles this night isn't going to be fun,1
19164,57922,5/20/2011 10:02,42.22329 93.27464,the whole day has just been terrible this atrocious cough causing me to lose my mind,1
19497,58994,5/19/2011 5:44,42.23452 93.35243,this headache is ruining my social life neeeed sleep,1
19709,59708,5/18/2011 22:13,42.22316 93.45794,this cold makes me wish I wasn't here right now and gonna be a rough night,1
19736,59763,5/20/2011 10:04,42.2557 93.47833,I caught a case of the chills this night isn't going to be fun,1
19834,60042,5/18/2011 19:22,42.19324 93.20544,I have cold sick sick and sicker,1
19842,60062,5/18/2011 20:08,42.18746 93.428,night tweeps this shortness of breath is making it tough to have a life,1
19855,60091,5/20/2011 8:52,42.17013 93.48014,this flu makes me beg for sleeeeeeeep and morning everyone,1
19966,60526,5/18/2011 8:44,42.21905 93.39398,this shortness of breath is ruining my social life well my day is totally ruined,1
20231,61455,5/20/2011 18:17,42.21573 93.45218,morning everyone this fever is out of control,1
20250,61497,5/18/2011 17:41,42.22766 93.33771,this fever makes me want soup bye everyone,1
20376,61932,5/19/2011 13:22,42.16604 93.52322,this nausea has me wishing I was somewhere else anyone know what's good for stomach problems,1
20502,62386,5/19/2011 20:46,42.23628 93.35123,I need to sit down boy  you take my breath away... You got me fighting for air.,0
20759,63160,5/19/2011 5:45,42.24159 93.33365,Ava has come down with a some fatigue they said it hurts to move,1
21097,64139,5/18/2011 20:13,42.23275 93.34723,She has come down with a cold This is when I wish I had superpowers,1
21218,64559,5/18/2011 11:21,42.24395 93.27933,don't plan on leaving the house anytime soon these sweats is ruining my social life,1
21271,64697,5/18/2011 22:49,42.18021 93.38175,night tweeps this shortness of breath is digging my grave,1
21446,65172,5/20/2011 8:26,42.20444 93.33645,Willow has caught a pneumonia being sick sucks,1
21533,65396,5/18/2011 18:04,42.22136 93.36136,this fatigue is making it tough to have a life and dont feel like eatting,1
21562,65451,5/18/2011 12:12,42.2206 93.35835,need medicine so I can get through the day this shortness of breath makes me want soup,1
21565,65451,5/20/2011 6:02,42.21417 93.35922,night tweeps this aching muscles is so annoying,1
21715,65813,5/18/2011 13:10,42.21569 93.35181,didn't see this coming... this fever makes me feel like crap,1
21791,66074,5/20/2011 15:39,42.282 93.3678,this case of the chills makes me beg for sleeeeeeeep of all peeps why me,1
21944,66483,5/19/2011 15:52,42.22274 93.33765,this flu is killing me today is not cool,1
22036,66718,5/20/2011 3:51,42.28092 93.27648,this fatigue has me wishing I was somewhere else and wish i was feeling better,1
22091,66849,5/18/2011 11:22,42.22076 93.36598,these sweats had me down for the count need medicine so I can get through the day,1
22192,67111,5/20/2011 16:54,42.23422 93.33725,Sam has caught a case of the chills wish they were feeling better,1
22253,67262,5/19/2011 3:43,42.22165 93.38832,I have a sweats night everyone,1
22350,67605,5/18/2011 14:28,42.21897 93.36569,I have come down with a sweats going to be a bad day...,1
22365,67658,5/19/2011 4:28,42.21299 93.34164,Johsua has a the sweats This is when I wish I had superpowers,1
22589,68263,5/19/2011 23:14,42.223 93.33878,this problems breathing right now had me down for the count and thanks for trying to cheer me up tonight everyone,1
22597,68277,5/19/2011 7:34,42.19369 93.31773,I am coughing hope i feel well in the morning,1
22606,68288,5/20/2011 12:41,42.21676 93.46663,been on the toilet for so long I just got bad diarrhea,1
22739,68650,5/18/2011 10:32,42.22066 93.36451,this shortness of breath is digging my grave and wish i was feeling better today,1
22770,68761,5/20/2011 19:20,42.24277 93.35962,Michael has come down with a pneumonia My best wishes going out,1
22879,69112,5/18/2011 6:39,42.23717 93.34324,Cameron has caught a cold hope they have medicine medicine,1
22924,69233,5/18/2011 12:22,42.22921 93.3684,bye everyone these sweats is making it tough to have a life,1
23035,69581,5/20/2011 23:37,42.22066 93.24864,this fever is making me crazy and good evening,1
23055,69628,5/20/2011 8:31,42.21122 93.31848,Watching the sickly can be so depressing. Cameron has caught a pneumonia,1
23184,70084,5/20/2011 12:49,42.20448 93.55888,this case of the chills is killing me I hate this,1
23208,70142,5/18/2011 9:48,42.23422 93.20025,these chills is horrible and if anyone needs me I will be at home,1
23479,70935,5/20/2011 19:17,42.23805 93.32766,home is where they are staying for their sake. Taylor has caught a case of the chills,1
23551,71152,5/19/2011 11:00,42.22292 93.35092,this case of the chills has me wishing I was somewhere else and can't stand this,1
23607,71328,5/19/2011 9:15,42.21912 93.39279,wonder if I'll be able to go to work... I have come down with a case of the chills,1
23617,71392,5/20/2011 18:35,42.23216 93.34244,hope they get well soon. Johan is having difficulty breathing,1
23754,71815,5/19/2011 15:22,42.2124 93.3013,home is where they are staying for their sake. Joseph has caught a the flu,1
23821,72025,5/19/2011 4:30,42.2413 93.35123,wish they were feeling better. Andrew has come down with a case of the chills,1
23997,72522,5/20/2011 13:51,42.27491 93.29172,Alyssa has come down with a the flu can't stand this,1
24217,73242,5/19/2011 21:23,42.26936 93.26762,so much for a good night I caught a a dry cough,1
24436,73889,5/20/2011 5:18,42.22221 93.38369,of all peeps why me this case of the chills wont let up,1
24796,74980,5/19/2011 20:55,42.23422 93.3676,Jordan is coughing wish they were feeling better,1
24822,75039,5/19/2011 9:24,42.22044 93.39242,not feeling good today I am chills,1
24890,75234,5/18/2011 22:49,42.16582 93.28493,I caught a headache sick sick and sicker,1
25117,75874,5/20/2011 18:55,42.22246 93.3422,this short breath every minute is ruining my social life and help me out tweeps,1
25210,76125,5/18/2011 18:25,42.1834 93.53306,this fatigue is killing me and I hope this doesn't turn into something worse...,1
25483,76938,5/18/2011 2:44,42.17024 93.44269,they said it hurts to move. Bryan has come down with a headache,1
25547,77123,5/19/2011 13:47,42.22004 93.39721,later tweeps this case of the chills has me begging for mercy,1
25650,77403,5/18/2011 21:51,42.17084 93.47314,sick sick and sicker this headache has me wishing I was somewhere else,1
25706,77603,5/20/2011 17:49,42.20258 93.4968,this fever has me wishing I was somewhere else and morning everyone,1
25725,77676,5/18/2011 19:14,42.2125 93.28123,I caught a headache good night all,1
26024,78498,5/18/2011 11:26,42.21699 93.34305,this headache makes me wish I wasn't here right now if anyone needs me I will be at home,1
26059,78576,5/19/2011 3:24,42.21885 93.39189,these chills makes me beg for sleeep and night everyone,1
26060,78576,5/20/2011 2:52,42.21885 93.39189,hey everyone feeling terrible tonight this a headache getting really annoying,1
26330,79512,5/19/2011 11:14,42.23207 93.32589,this a headache is killing me and need to go to the doctor's office today,1
26334,79533,5/20/2011 8:12,42.20418 93.44274,this short breath every minute causing me to lose my mind of all peeps why me,1
26357,79582,5/20/2011 4:02,42.20303 93.4451,I so need to lay down I am vomitting everywhere,1
26375,79657,5/19/2011 19:44,42.16225 93.50565,hoping this pain will yield this nausea is making me crazy,1
26610,80389,5/18/2011 6:27,42.21122 93.39157,Pastor is really preaching too me !,1
26642,80507,5/20/2011 7:54,42.22744 93.31568,oh the suffering.... Johan is having difficulty breathing,1
26677,80641,5/19/2011 5:20,42.22655 93.34604,Michael has caught a some fatigue home is where they are staying for their sake,1
27079,81959,5/19/2011 2:14,42.21004 93.37,Noah has come down with a some fatigue can't stand this,1
27220,82380,5/17/2011 21:40,42.2239 93.33086,Paterson to Begin Teaching at N.Y.U.,1
27243,82486,5/18/2011 20:31,42.22069 93.45966,need medicine so I can go to bed this fever has me wishing I was somewhere else,1
27364,82900,5/19/2011 22:31,42.2548 93.50209,I caught a a headache not gonna be a fun night,1
27408,82968,5/19/2011 22:19,42.25418 93.55154,good evening I have come down with a aching muscles,1
27563,83485,5/19/2011 11:10,42.19353 93.4711,this diarrhea has me wishing I was somewhere else I am sick of being on my toilet,1
27579,83558,5/19/2011 10:08,42.22709 93.33763,this flu has me wishing I was somewhere else and later tweeps,1
27597,83645,5/18/2011 14:38,42.21715 93.39108,can't stand this feeling today this cold is ruining my social life,1
27717,84009,5/18/2011 9:24,42.22302 93.23021,this cold makes me feel like crap and too tired to even move,1
27889,84452,5/19/2011 7:36,42.16729 93.32047,Austin has caught a fever Watching the sickly can be so depressing,1
28019,84863,5/19/2011 16:13,42.22139 93.3578,I have come down with a problems breathing right now later tweeps,1
28020,84863,5/19/2011 0:56,42.24494 93.29307,this fatigue is making me crazy and wow this blows...,1
28136,85242,5/20/2011 8:27,42.25456 93.37879,Ashley has come down with a the flu can't stand this,1
28348,85899,5/19/2011 6:26,42.20061 93.21383,Isabella has caught a fever wish they were feeling better,1
28489,86344,5/19/2011 9:15,42.19294 93.35762,Natalie has caught a fever hope they have medicine medicine,1
28517,86424,5/19/2011 4:48,42.1903 93.45831,home is where i'm headed this heartburn had me down for the count,1
28610,86605,5/19/2011 16:49,42.22766 93.33579,I caught a a headache good morning,1
28683,86768,5/18/2011 11:14,42.22026 93.36373,c ya everyone this headache is draining me,1
28745,86963,5/20/2011 0:01,42.24332 93.40356,a new night a new sickness this chills is making me crazy,1
28943,87561,5/20/2011 6:52,42.2644 93.50867,this a dry cough is making me crazy tonight blows,1
29053,87825,5/19/2011 8:53,42.20154 93.44261,grr my stomach... this heartburn causing me to lose my mind,1
29150,88061,5/19/2011 6:43,42.22036 93.34843,Sophia has caught a case of the chills being sick sucks,1
29230,88314,5/20/2011 8:33,42.19847 93.46048,just wanna go to sleep I have come down with really bad diarrhea,1
29337,88628,5/18/2011 19:45,42.26325 93.50565,I so need to lay down this cold is getting really annoying,1
29370,88707,5/18/2011 19:59,42.22862 93.2358,dont feel like eatting this fatigue is ruining my social life,1
29720,89711,5/20/2011 0:57,42.2232 93.46908,this bad case of diarrhea getting really annoying and just wanna go to sleep,1
29829,90100,5/20/2011 21:46,42.20709 93.36361,I hate this. Nathan is having difficulty breathing,1
29884,90259,5/20/2011 15:23,42.2413 93.3708,If only I was a doctor.... Bryan has caught a pneumonia,1
30044,90844,5/20/2011 0:15,42.22049 93.39747,im going to bed this fever wont let up,1
30558,92521,5/19/2011 8:58,42.21981 93.40168,this chills causing me to lose my mind good morning,1
30637,92746,5/19/2011 5:36,42.19078 93.42581,this shortness of breath has me wishing I was somewhere else going to sleep,1
